,gvkey,year,sim
300,1988,2002,3.059421503108824
301,1988,2003,2.9072625083932655
302,1988,2004,2.9008667884769332
303,1988,2005,2.9093267275802335
304,1988,2006,2.923761054998989
305,1995,2002,0.050071820444561786
306,1995,2003,0.09661543095930542
307,1995,2004,0.14386948684494494
308,1995,2005,0.20263179811930074
309,1995,2006,0.261405584114643
310,2044,2002,24.818691983403898
311,2044,2003,24.830828570410663
312,2044,2004,24.873672527570704
313,2044,2005,24.970227621340086
314,2044,2006,25.245925161210472
315,2049,2002,1.044359212731507
316,2049,2003,1.07741306614055
317,2049,2004,1.1260746268044641
318,2049,2005,1.1713568989299559
319,2049,2006,1.2382556687110478
320,2055,2002,0.4297192904863917
321,2055,2003,0.4042409298943509
322,2055,2004,0.4244991445584936
323,2055,2005,0.4612334286903336
324,2055,2006,0.4983382767543466
325,2061,2002,1.2022226646942629
326,2061,2003,1.2487535880647356
327,2061,2004,1.2983669875542196
328,2061,2005,1.3609294442234277
329,2061,2006,1.4199350630289278
330,2085,2002,49.33423030741728
331,2085,2003,49.68081547483528
332,2085,2004,50.15991782040846
333,2085,2005,50.70884656497118
334,2085,2006,50.98630013130756
335,2086,2002,61.99753891866693
336,2086,2003,61.94455723968972
337,2086,2004,62.1625510410357
338,2086,2005,62.566235677581034
339,2086,2006,63.03668803438835
340,2111,2002,86.45067482007948
341,2111,2003,86.01429055730125
342,2111,2004,86.36335775316829
343,2111,2005,86.72588654065645
344,2111,2006,87.24217970203304
345,2124,2002,3.29710312926083
346,2124,2003,3.410696454568712
347,2124,2004,3.527212303726244
348,2124,2005,3.6216356174390225
349,2124,2006,3.697992604544798
350,2137,2002,2.032629991766506
351,2137,2003,2.0544706352719984
352,2137,2004,2.099940734417697
353,2137,2005,2.150771907611168
354,2137,2006,2.222295208951933
355,2146,2002,193.8705069485704
356,2146,2003,198.9615956335913
357,2146,2004,202.57938108670922
358,2146,2005,205.09223445650142
359,2146,2006,206.88996602753534
360,2154,2002,4.11585301182093
361,2154,2003,4.143286923275599
362,2154,2004,4.1797352918921336
363,2154,2005,4.21854673569432
364,2154,2006,4.307045769799145
365,2176,2002,0.060000000000000005
366,2176,2003,0.11401850117942006
367,2176,2004,0.17085057552343091
368,2176,2005,0.22928188173875705
369,2176,2006,0.28895337719433534
370,2184,2002,0.060676743345801545
371,2184,2003,0.11462777886647581
372,2184,2004,0.17149158765910438
373,2184,2005,0.22994093169988564
374,2184,2006,0.28962641531906186
375,2220,2002,8.104602185944735
376,2220,2003,7.98214717839613
377,2220,2004,8.01649742259133
378,2220,2005,8.078720756803492
379,2220,2006,8.165519641778848
380,2222,2002,1.096954461593014
381,2222,2003,1.1823016563403592
382,2222,2004,1.2623868549631945
383,2222,2005,1.3375715489705393
384,2222,2006,1.404940273886838
385,2226,2002,0.33117058334907085
386,2226,2003,0.3443440291293602
387,2226,2004,0.3869479708785977
388,2226,2005,0.4278971158797983
389,2226,2006,0.4742451182891436
390,2230,2002,19.703595138155347
391,2230,2003,20.23855413802066
392,2230,2004,20.67368538389393
393,2230,2005,21.033279199298185
394,2230,2006,21.27797661901949
395,2255,2002,86.93794702318331
396,2255,2003,88.19610273946603
397,2255,2004,89.09967378840918
398,2255,2005,89.81053701969707
399,2255,2006,90.65772075694677
400,2270,2002,0.17971681412994847
